,24.20,-1.00,0.00,-50.00,-72.00,-80.00,-89.70,-93.50,-96.80,-100.40,-107.00,-107.00
5.636363636,26.44887447,27.46067705,27.6559372,26.37787078,26.41337263,26.02285233,26.0761051,26.48437632,26.44887447,26.44887447,26.53762908,26.00510141
4.769230769,25.43723906,25.64497478,25.84232372,25.87348408,26.0812198,26.24740838,26.21624802,26.25779516,26.42398374,26.27856873,26.54862517,26.38243659
4.133333333,22.91533938,23.07609751,23.25147,23.04686876,23.368385,23.38299937,23.23685563,23.29531312,23.39761375,23.32454187,23.29531312,23.38299937
3.647058824,20.49643515,20.33018365,21.11394073,20.66268665,20.87643858,20.85268837,20.87643858,20.94768922,21.01893987,21.01893987,21.01893987,20.99518965
3.492957746,20.06059817,19.84168291,20.45862591,20.12030233,20.14020372,20.19990788,20.23971065,20.3193162,20.25961204,20.37902036,20.29941481,20.33921759
3.263157895,18.50877193,18.22368421,18.79385965,18.35526316,18.44298246,18.64035088,18.37719298,18.42105263,18.42105263,18.37719298,18.42105263,18.42105263
3.1,17.22942779,17.11316985,17.39218892,16.90390554,16.92715713,16.9969119,16.85740236,16.92715713,16.90390554,16.92715713,16.85740236,16.81089918
2.952380952,15.60087492,15.4498291,15.57929695,15.32036126,15.19089342,15.19089342,15.19089342,15.19089342,15.14773747,15.32036126,15.1261595,15.16931545
2.818181818,13.73069083,13.35369209,13.79021694,13.17511374,13.19495578,13.13542967,13.07590355,13.07590355,13.09574559,13.09574559,13.01637743,13.01637743
2.695652174,12.15408752,11.65800232,11.96328552,11.48628052,11.35271911,11.29547851,11.21915771,11.31455871,11.21915771,11.27639831,11.14283691,11.06651611
2.583333333,9.939949776,9.520690032,9.870073152,9.363467627,9.276121847,9.118899443,9.118899443,9.153837755,9.153837755,9.083961131,9.083961131,9.014084507
2.48,8.026116415,7.647674777,7.915737604,7.458453957,7.363843548,7.237696335,7.237696335,7.237696335,7.237696335,7.19039113,7.19039113,7.143085925
2.384615385,6.463977177,6.036971851,6.360906926,5.948625922,5.830831349,5.742485419,5.683588133,5.757209741,5.698312455,5.668863812,5.698312455,5.668863812
2.330827068,5.378191924,4.977247025,5.101678201,4.783687419,4.617779184,4.534825067,4.534825067,4.548650753,4.548650753,4.493348009,4.465696636,4.424219578
2.296296296,4.594257179,4.234706617,4.447773616,4.048272992,3.928422805,3.84852268,3.808572618,3.861839367,3.835205993,3.821889305,3.79525593,3.808572618
2.214285714,3.145562265,2.743222906,2.97487284,2.621301888,2.49938087,2.401844055,2.36526775,2.36526775,2.36526775,2.279923037,2.328691445,2.255538834
2.137931034,2.076276349,1.832581942,1.8910686,1.735104179,1.735104179,1.657121969,1.676617522,1.647374193,1.686365298,1.657121969,1.70586085,1.637626416
2.066666667,1.5557198,1.345487394,1.419068736,1.303440913,1.240371192,1.208836331,1.229859571,1.250882812,1.219347951,1.229859571,1.229859571,1.208836331
2,1.094808687,0.851517868,1.006339298,0.862576541,0.829400521,0.807283173,0.7962245,0.829400521,0.829400521,0.829400521,0.829400521,0.774107152
1.9375,0.74728749,0.505856147,0.574836531,0.505856147,0.505856147,0.482862686,0.482862686,0.540346339,0.528849608,0.517352878,0.528849608,0.517352878
1.878787879,0.572342411,0.350413721,0.441248892,0.338733264,0.350413721,0.338733264,0.36770741,0.408816008,0.451754818,0.350413721,0.350413721,0.350413721
